WO ref,PROCESS,PART #,PART DESCRIPT,CUSTOMER,HOURS O/S,OP #,OP DESCRIPT,REQ'D DATE,PERIOD
58743/3.01,TURNING,MP/OCE1/0297142,0297142  Rev C VERTICAL DOCKING INDICATOR 18 3/4 WELLHEAD CLEANING TOOL  (WHITE ACETAL),OCEANEERING INTERNATIONAL SERVICES LTD,0.8,20,TURN,25/03/2021,
58743/3.01,TURNING,MP/OCE1/0297142,0297142  Rev C VERTICAL DOCKING INDICATOR 18 3/4 WELLHEAD CLEANING TOOL  (WHITE ACETAL),OCEANEERING INTERNATIONAL SERVICES LTD,0.5,30,MANUFACTURE OF JIG OR FIXTURE,25/03/2021,
58743/3.01,TURNING,MP/OCE1/0297142,0297142  Rev C VERTICAL DOCKING INDICATOR 18 3/4 WELLHEAD CLEANING TOOL  (WHITE ACETAL),OCEANEERING INTERNATIONAL SERVICES LTD,0.07,40,TURN,25/03/2021,
58743/3.01,MILLING,MP/OCE1/0297142,0297142  Rev C VERTICAL DOCKING INDICATOR 18 3/4 WELLHEAD CLEANING TOOL  (WHITE ACETAL),OCEANEERING INTERNATIONAL SERVICES LTD,0.58,50,ENGRAVE,25/03/2021,
58743/4.01,MILLING,MP/OCE1/0309291,"0309291 REV B BRACKET 2 FILTER 18 3/4"" WELLHEAD CLEANING TOOL (BLACK ACETAL)",OCEANEERING INTERNATIONAL SERVICES LTD,0.92,20,MILL,25/03/2021,
58743/5.01,MILLING,MP/OCE1/0309339,0309339  Rev B SPACER FOR RECEPTACLE WING HUB CLEANING TOOL 12 INCH,OCEANEERING INTERNATIONAL SERVICES LTD,1.67,20,MILL,25/03/2021,
58743/6.01,MILLING,MP/OCE1/0297173,"0297173  REV D, DOCKING INDICATOR TOP (BLACK ACETAL)",OCEANEERING INTERNATIONAL SERVICES LTD,0.98,30,MILL,25/03/2021,
58743/6.01,TURNING,MP/OCE1/0297173,"0297173  REV D, DOCKING INDICATOR TOP (BLACK ACETAL)",OCEANEERING INTERNATIONAL SERVICES LTD,0.85,20,TURN,25/03/2021,
58839/8.01,CNC ROUTERS,MP/CAI1/C0423/P5049,"C0423 P5049 REV P1   MATERIAL - NATURAL NYLON 66, MACHINED TO DRAWING",CAIRNHILL STRUCTURES,1.42,20,CNC ROUTER,26/03/2021,
58839/8.01,MANUAL MACHINING,MP/CAI1/C0423/P5049,"C0423 P5049 REV P1   MATERIAL - NATURAL NYLON 66, MACHINED TO DRAWING",CAIRNHILL STRUCTURES,0.33,30,FINISH,26/03/2021,
58839/9.01,CNC ROUTERS,MP/CAI1/C0423/P5051,"C0423 P5051 REV P2   MATERIAL - NATURAL NYLON 66, MACHINED TO DRAWING",CAIRNHILL STRUCTURES,1.42,20,CNC ROUTER,26/03/2021,
58839/9.01,MANUAL MACHINING,MP/CAI1/C0423/P5051,"C0423 P5051 REV P2   MATERIAL - NATURAL NYLON 66, MACHINED TO DRAWING",CAIRNHILL STRUCTURES,0.33,30,FINISH,26/03/2021,
58679/2.01,PRESS/SEALING,GR/DIA1/396742010A,"GRAPHITE PACKING SET 3.062"" x 2.312"" (SPLIT) 396742-0120 REV A - GROUP A (SPLIT)
Tariff Code 84818090
UK MANUFACTURE",DIAMOND POWER SPECIALTY LTD,0,10,"CHECK MATERIAL,DRAWING & REV NO",31/03/2021,
58679/2.01,PRESS/SEALING,GR/DIA1/396742010A,"GRAPHITE PACKING SET 3.062"" x 2.312"" (SPLIT) 396742-0120 REV A - GROUP A (SPLIT)
Tariff Code 84818090
UK MANUFACTURE",DIAMOND POWER SPECIALTY LTD,12.5,20,PRESS/SEALING,02/04/2021,
58732/1.01,TURNING,MP/DIA1/398011-0120,"398011-0120 Rev B   BEARING, SQUARE SHAFT, 1K4M",DIAMOND POWER SPECIALTY LTD,7.67,20,TURN,13/04/2021,
58568/1.01,TURNING,MP/IMP2/0000-0515,"0000-0515 Rev 01   DOCKING PROBE NOSE (ACETAL, BLACK)",FUGRO GB (NORTH) MARINE LTD,0.33,60,TURN,15/04/2021,
